"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","26,980.30","27,072.32","27,072.32","26,871.66","54.95M","-0.56%"
"Nov 07, 2019","27,132.43","27,032.80","27,160.81","26,966.37","59.79M","0.63%"
"Nov 06, 2019","26,962.52","26,855.69","26,962.52","26,794.92","48.45M","0.33%"
"Nov 05, 2019","26,872.81","26,939.47","26,939.47","26,783.48","44.42M","-0.15%"
"Nov 04, 2019","26,913.33","26,644.24","26,966.70","26,637.49","48.84M","1.38%"
"Nov 01, 2019","26,547.34","26,305.00","26,565.04","26,303.88","29.85M","1.14%"
"Oct 31, 2019","26,249.30","26,429.01","26,481.63","26,134.42","42.62M","-0.54%"
"Oct 30, 2019","26,392.56","26,286.59","26,394.64","26,213.62","39.66M","0.35%"
"Oct 29, 2019","26,299.74","26,376.31","26,379.94","26,138.47","38.37M","-0.23%"
"Oct 28, 2019","26,359.29","26,278.86","26,416.27","26,223.96","41.56M","0.45%"
"Oct 25, 2019","26,240.57","26,290.65","26,343.07","26,107.37","41.23M","-0.22%"
"Oct 24, 2019","26,299.38","26,223.17","26,340.37","26,195.59","40.62M","0.47%"
"Oct 23, 2019","26,177.57","26,176.12","26,271.44","26,051.79","37.28M","-0.26%"
"Oct 22, 2019","26,245.78","26,266.46","26,328.03","26,170.35","33.10M","0.08%"
"Oct 21, 2019","26,224.83","26,030.24","26,239.07","25,936.75","40.99M","0.87%"
"Oct 18, 2019","25,999.86","26,065.64","26,184.59","25,951.65","34.36M","-0.40%"
"Oct 17, 2019","26,103.87","25,927.23","26,327.70","25,886.99","44.54M","0.59%"
"Oct 16, 2019","25,950.49","25,905.87","25,972.38","25,806.29","45.10M","0.13%"
"Oct 15, 2019","25,917.99","25,719.45","26,029.60","25,714.72","35.84M","1.09%"
"Oct 14, 2019","25,638.47","25,581.65","25,638.47","25,423.04","29.84M","0.04%"
"Oct 11, 2019","25,627.56","25,376.53","25,627.56","25,312.09","49.64M","1.22%"
"Oct 10, 2019","25,319.29","25,318.67","25,379.29","25,084.16","47.41M","0.09%"
"Oct 09, 2019","25,295.90","25,158.18","25,329.12","25,070.97","31.35M","0.48%"
"Oct 08, 2019","25,175.42","25,682.95","25,693.36","25,138.43","44.35M","-1.72%"
"Oct 07, 2019","25,615.96","25,554.08","25,615.96","25,392.97","31.09M","0.32%"
"Oct 04, 2019","25,533.50","25,191.80","25,533.50","25,126.16","47.54M","1.66%"
"Oct 02, 2019","25,117.53","25,604.02","25,604.02","25,117.53","43.63M","-2.11%"
"Oct 01, 2019","25,658.39","25,969.38","26,065.41","25,612.20","49.58M","-0.88%"
"Sep 30, 2019","25,886.93","25,840.14","25,905.77","25,774.94","35.17M","0.21%"
"Sep 27, 2019","25,833.94","25,762.46","25,851.03","25,711.91","48.37M","0.52%"
"Sep 26, 2019","25,700.35","25,568.93","25,765.40","25,568.93","35.80M","0.53%"
"Sep 25, 2019","25,565.31","25,521.39","25,572.16","25,256.77","43.07M","-0.30%"
"Sep 24, 2019","25,641.93","25,621.14","25,703.01","25,610.12","37.28M","0.19%"
"Sep 23, 2019","25,592.39","25,864.17","25,866.12","25,430.78","48.71M","-1.18%"
"Sep 20, 2019","25,897.30","26,117.40","26,134.74","25,810.84","80.16M","-0.75%"
"Sep 19, 2019","26,092.42","25,955.07","26,111.27","25,911.91","37.70M","0.56%"
"Sep 18, 2019","25,947.86","25,963.06","25,998.62","25,920.01","33.54M","-0.04%"
"Sep 17, 2019","25,958.01","25,960.29","25,963.77","25,763.73","42.64M","-0.07%"
"Sep 16, 2019","25,976.37","26,175.36","26,175.36","25,921.00","35.52M","-1.07%"
"Sep 13, 2019","26,257.53","26,215.64","26,284.98","26,185.06","39.81M","0.29%"
"Sep 12, 2019","26,182.54","26,129.00","26,291.55","26,014.71","49.99M","0.38%"
"Sep 11, 2019","26,082.40","25,949.24","26,163.90","25,949.24","40.19M","0.77%"
"Sep 10, 2019","25,883.49","25,998.89","26,022.91","25,714.00","46.17M","-0.46%"
"Sep 09, 2019","26,004.12","26,079.77","26,139.55","25,977.41","31.02M","-0.02%"
"Sep 06, 2019","26,010.47","25,882.01","26,044.69","25,880.98","35.72M","0.55%"
"Sep 05, 2019","25,867.38","25,849.67","25,965.40","25,815.21","37.73M","0.47%"
"Sep 04, 2019","25,746.08","25,660.74","25,885.11","25,660.74","30.92M","0.73%"
"Sep 03, 2019","25,558.39","25,678.84","25,682.59","25,478.53","29.03M","-0.59%"
"Sep 02, 2019","25,709.64","25,742.99","25,866.16","25,706.38","26.91M","-0.04%"
"Aug 30, 2019","25,719.96","25,420.34","25,841.65","25,419.83","35.04M","1.30%"
"Aug 29, 2019","25,390.10","25,082.90","25,428.93","25,043.91","31.17M","1.14%"
"Aug 28, 2019","25,105.07","25,174.56","25,209.60","24,895.82","30.09M","-0.31%"
"Aug 27, 2019","25,181.93","25,020.02","25,228.22","24,933.29","34.49M","0.73%"
"Aug 26, 2019","24,999.67","24,924.13","25,059.28","24,771.08","24.12M","-0.16%"
"Aug 23, 2019","25,039.94","25,322.51","25,432.85","25,039.94","30.35M","-0.81%"
"Aug 22, 2019","25,245.46","25,413.54","25,504.37","25,217.05","33.64M","-0.83%"
"Aug 21, 2019","25,456.74","25,051.19","25,473.18","25,050.02","29.22M","1.88%"
"Aug 20, 2019","24,986.85","25,215.55","25,310.46","24,969.97","32.33M","-0.75%"
"Aug 19, 2019","25,175.87","24,912.03","25,239.63","24,908.15","35.13M","1.45%"
"Aug 16, 2019","24,817.08","24,470.78","24,817.47","24,470.78","50.59M","1.77%"
"Aug 15, 2019","24,384.44","24,711.19","24,748.00","24,122.85","48.43M","-1.12%"
"Aug 14, 2019","24,660.51","25,283.08","25,286.76","24,606.37","42.43M","-2.39%"
"Aug 13, 2019","25,263.95","25,188.11","25,405.54","24,926.26","44.94M","0.06%"
"Aug 12, 2019","25,249.75","25,454.29","25,712.28","25,222.27","35.74M","-0.41%"
"Aug 09, 2019","25,354.02","25,583.15","25,684.76","25,328.64","37.50M","-0.93%"
"Aug 08, 2019","25,592.37","25,267.81","25,592.37","25,265.12","43.35M","1.86%"
"Aug 07, 2019","25,125.86","25,043.67","25,333.14","24,935.35","49.19M","0.73%"
"Aug 06, 2019","24,943.79","25,040.18","25,265.12","24,943.79","35.16M","-0.38%"
"Aug 05, 2019","25,038.14","25,445.38","25,445.38","24,972.71","41.94M","-2.29%"
"Aug 02, 2019","25,626.16","25,989.51","25,998.23","25,579.92","45.10M","-2.16%"
"Aug 01, 2019","26,191.48","25,895.73","26,242.80","25,860.91","35.87M","0.99%"
"Jul 31, 2019","25,935.28","25,824.95","25,999.69","25,816.69","38.63M","0.50%"
"Jul 30, 2019","25,806.90","26,260.20","26,261.90","25,772.70","35.68M","-1.71%"
"Jul 29, 2019","26,256.24","26,219.41","26,339.79","26,191.58","27.46M","0.12%"
"Jul 26, 2019","26,224.31","26,128.34","26,258.74","26,099.83","24.33M","0.48%"
"Jul 25, 2019","26,099.14","26,352.70","26,404.37","25,952.05","42.65M","-0.73%"
"Jul 24, 2019","26,290.72","26,151.75","26,322.35","26,151.75","36.87M","0.52%"
"Jul 23, 2019","26,154.58","25,927.14","26,197.16","25,918.44","35.52M","1.16%"
"Jul 22, 2019","25,855.70","25,823.42","25,900.83","25,750.47","35.79M","0.04%"
"Jul 19, 2019","25,845.12","25,802.12","25,970.01","25,780.12","32.82M","0.42%"
"Jul 18, 2019","25,736.98","25,834.57","25,834.57","25,676.70","37.58M","-0.74%"
"Jul 17, 2019","25,929.51","26,057.61","26,080.13","25,899.05","31.22M","-0.50%"
"Jul 16, 2019","26,059.73","25,983.87","26,061.60","25,943.73","33.39M","0.25%"
"Jul 15, 2019","25,993.59","25,866.72","26,066.76","25,849.90","27.45M","0.70%"
"Jul 12, 2019","25,813.63","25,768.74","25,880.16","25,705.98","33.11M","0.22%"
"Jul 11, 2019","25,757.96","25,898.58","25,928.75","25,701.30","34.28M","-0.24%"
"Jul 10, 2019","25,821.19","25,822.83","25,949.32","25,746.16","31.52M","-0.01%"
"Jul 09, 2019","25,823.36","25,843.62","25,845.04","25,673.79","35.06M","-0.25%"
"Jul 08, 2019","25,887.47","25,925.51","25,980.70","25,818.89","30.27M","-0.16%"
"Jul 05, 2019","25,930.13","26,080.80","26,083.68","25,852.07","33.39M","-0.51%"
"Jul 04, 2019","26,063.37","26,039.88","26,103.05","25,940.13","27.42M","0.19%"
"Jul 03, 2019","26,013.41","25,721.01","26,013.41","25,706.74","30.97M","1.19%"
"Jul 02, 2019","25,706.81","25,783.52","25,805.45","25,628.63","29.37M","-0.27%"
"Jul 01, 2019","25,775.27","25,789.61","26,019.60","25,769.83","32.57M","0.61%"
"Jun 28, 2019","25,619.57","25,355.89","25,624.35","25,351.71","34.36M","1.10%"
"Jun 27, 2019","25,341.18","25,364.53","25,413.14","25,243.05","32.13M","0.18%"
"Jun 26, 2019","25,294.77","25,398.31","25,428.73","25,269.15","32.96M","-0.59%"
"Jun 25, 2019","25,444.99","25,431.55","25,492.82","25,386.76","35.90M","-0.10%"
"Jun 24, 2019","25,469.98","25,506.99","25,670.64","25,452.16","32.57M","-0.12%"
"Jun 21, 2019","25,500.86","25,605.35","25,671.04","25,475.49","74.37M","-0.43%"
"Jun 20, 2019","25,612.20","25,603.26","25,810.12","25,603.26","38.46M","0.42%"
"Jun 19, 2019","25,504.34","25,609.94","25,617.81","25,457.73","35.80M","-0.40%"
"Jun 18, 2019","25,606.13","25,303.31","25,639.36","25,130.15","42.69M","1.19%"
"Jun 17, 2019","25,305.61","25,290.14","25,340.43","25,212.86","29.44M","0.19%"
"Jun 14, 2019","25,258.70","25,439.36","25,446.29","25,171.95","31.53M","-0.82%"
"Jun 13, 2019","25,467.60","25,416.28","25,588.67","25,413.11","37.43M","0.12%"
"Jun 12, 2019","25,438.21","25,365.68","25,443.34","25,257.76","34.67M","0.01%"
"Jun 11, 2019","25,436.55","25,192.70","25,546.86","25,192.20","36.34M","1.41%"
"Jun 07, 2019","25,082.96","25,043.13","25,161.37","24,968.16","34.69M","0.46%"
"Jun 06, 2019","24,967.92","25,208.90","25,264.98","24,923.67","36.19M","-0.88%"
"Jun 05, 2019","25,190.67","25,092.96","25,304.93","25,060.20","32.36M","0.60%"
"Jun 04, 2019","25,041.63","24,834.70","25,093.85","24,696.86","36.70M","0.60%"
"Jun 03, 2019","24,891.08","24,716.38","24,892.36","24,499.11","30.95M","0.46%"
"May 31, 2019","24,776.52","24,715.33","24,787.23","24,492.10","36.70M","-0.58%"
"May 30, 2019","24,921.85","24,803.65","24,939.86","24,803.65","20.98M","0.69%"
"May 29, 2019","24,751.48","25,105.95","25,114.67","24,694.59","37.37M","-1.72%"
"May 28, 2019","25,184.91","25,254.83","25,328.34","25,149.49","104.77M","-0.19%"
"May 27, 2019","25,234.06","25,262.29","25,386.53","25,199.19","16.83M","0.29%"
"May 24, 2019","25,160.12","25,206.34","25,341.56","25,160.12","30.68M","0.16%"
"May 23, 2019","25,118.93","25,486.90","25,487.31","25,118.93","35.28M","-1.81%"
"May 22, 2019","25,582.46","25,538.63","25,732.12","25,451.12","36.32M","0.03%"
"May 21, 2019","25,574.51","25,526.38","25,640.74","25,484.59","35.11M","0.36%"
"May 20, 2019","25,482.14","25,791.72","25,816.37","25,384.03","32.28M","-1.20%"
